PROPFIRM,,,,,,,,,,,EVALUATION,,,,,,,,FUNDED,,,,,,,,,,,,,,
#,Prop firm,Headquarters,Since,Nom du compte,Taille,Sizing,Billing,Regular Price,Discount Price,Code promo,Overnight / Overweek,Trading News,Drawdown type,Drawdown,DLL,Target Eval,Rules Eval,,Activation Fees,Overweek / Overnight,Trading News,"Sizing
(Scaling plan)",,Drawdown type,Drawdown,DLL,Buffer,Payout requirements,,Payout mini,Payout max,Profit Split,Notes
,,,,,,,,,,,,,,,,,Consistency,Min trading days,,,,,,,,,,Consistency,Min trading days,,,,
12,Funded Futures Network,US,2022,Funded Futures Network MAX,50k,4 minis / 40 micros,Subscription,$160,"$80,00",MTDESK,No,Yes,EOD,$2 000,$1 250,$3 000,40%,5,FREE,No,No,$0 - $1 000,2 minis / 20 micros,EOD,$2 000,$1 250,$2 100,40%,3,$500,$10 000,80%,
,,,,,,,,,,,,,,,,,,,,,,$1 001 - $2 000,3 minis / 30 micros,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,$2 001 - $3 000,4 minis / 40 micros,,,,,,,,,,
13,Funded Futures Network,US,2022,Funded Futures Network MAX,100k,10 minis / 100 micros,Subscription,$315,"$157,50",MTDESK,No,Yes,EOD,$3 600,$2 500,$6 000,40%,5,FREE,No,No,$0 - $3 000,4 minis / 40 micros,EOD,$3 600,$2 500,$3 700,40%,3,$500,$10 000,80%,
,,,,,,,,,,,,,,,,,,,,,,$3 001 - $4 500,6 minis / 60 micros,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,$4 501 - $6 000,10 minis / 100 micros,,,,,,,,,,
14,Funded Futures Network,US,2022,Funded Futures Network MAX,150k,15 minis / 150 micros,Subscription,$365,"$182,50",MTDESK,No,Yes,EOD,$5 000,$3 750,$9 000,40%,5,FREE,No,No,$0 - $3 000,4 minis / 40 micros,EOD,$5 000,$3 750,$5 100,40%,3,$500,$10 000,80%,
,,,,,,,,,,,,,,,,,,,,,,$3 001 - $4 500,8 minis / 80 micros,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,$4 501 - $9 000,15 minis / 150 micros,,,,,,,,,,
15,Funded Futures Network,US,2022,Funded Futures Network MAX,250k,20 minis / 200 micros,Subscription,$590,"$295,00",MTDESK,No,Yes,EOD,$6 000,$4 500,$15 000,40%,5,FREE,No,No,$0 - $5 000,6 minis / 60 micros,EOD,$6 000,$4 500,$6 100,40%,3,$500,$10 000,80%,
