PROPFIRM,,,,,,,,,,,EVALUATION,,,,,,,,FUNDED,,,,,,,,,,,,,,
#,Prop firm,Headquarters,Since,Nom du compte,Taille,Sizing,Billing,Regular Price,Discount Price,Code promo,Overnight / Overweek,Trading News,Drawdown type,Drawdown,DLL,Target Eval,Rules Eval,,Activation Fees,Overweek / Overnight,Trading News,"Sizing
(Scaling plan)",Drawdown type,Drawdown,DLL,Buffer,Consistency,Min trading days,Min profit per day,Payout mini,Payout max,Profit Split,Notes
,,,,,,,,,,,,,,,,,Consistency,Min trading days,,,,,,,,,,,,,,,
1,Alpha Futures,UK,2024,Alpha Futures Zero,25k,1 mini / 10 micros,Subscription,$79,-,-,No,Yes,EOD,$1 000,$500,$1 500,-,1,FREE,No,No,1 mini / 10 micros,EOD,$1 000,$500,-,40%,5,$200,$200,$1 000,90%,"Request 50% of account balance
Other 50% stays as buffer"
2,Alpha Futures,UK,2024,Alpha Futures Zero,50k,3 minis / 30 micros,Subscription,$119,-,-,No,Yes,EOD,$2 000,$1 000,$3 000,-,1,FREE,No,No,3 minis / 30 micros,EOD,$2 000,$1 000,-,40%,5,$200,$200,$1 500,90%,"Request 50% of account balance
Other 50% stays as buffer"
3,Alpha Futures,UK,2024,Alpha Futures Standard,50k,5 minis / 50 micros,Subscription,$79,-,-,No,Yes,EOD,$2 000,-,$3 000,50%,2,$149,No,No,5 minis / 50 micros,EOD,$2 000,-,-,40%,3,-,$200,$15 000,"70% payouts 1-2
80% payouts 3-4
90% payouts 5+",
4,Alpha Futures,UK,2024,Alpha Futures Advanced,50k,5 minis / 50 micros,Subscription,$139,-,-,No,Yes,EOD,$1 750,-,$4 000,50%,2,$149,No,Yes,5 minis / 50 micros,EOD,$1 750,-,-,40%,5,$200,$1 000,$15 000,90%,"Request 50% of account balance
Other 50% stays as buffer"
5,Alpha Futures,UK,2024,Alpha Futures Zero,100k,6 minis / 60 micros,Subscription,$239,-,-,No,Yes,EOD,$3 000,$2 000,$6 000,-,1,FREE,No,No,6 minis / 60 micros,EOD,$3 000,$2 000,-,40%,5,$200,$200,$2 500,90%,"Request 50% of account balance
Other 50% stays as buffer"
6,Alpha Futures,UK,2024,Alpha Futures Standard,100k,10 minis / 100 micros,Subscription,$159,-,-,No,Yes,EOD,$4 000,-,$6 000,50%,2,$149,No,No,10 minis / 100 micros,EOD,$4 000,-,-,40%,3,-,$200,$15 000,"70% payouts 1-2
80% payouts 3-4
90% payouts 5+",
7,Alpha Futures,UK,2024,Alpha Futures Advanced,100k,10 minis / 100 micros,Subscription,$279,-,-,No,Yes,EOD,$3 500,-,$8 000,50%,2,$149,No,Yes,10 minis / 100 micros,EOD,$3 500,-,-,40%,5,$200,$1 000,$15 000,90%,"Request 50% of account balance
Other 50% stays as buffer"
8,Alpha Futures,UK,2024,Alpha Futures Standard,150k,15 minis / 150 micros,Subscription,$239,-,-,No,Yes,EOD,$6 000,-,$9 000,50%,2,$149,No,No,15 minis / 150 micros,EOD,$6 000,-,-,40%,3,-,$200,$15 000,"70% payouts 1-2
80% payouts 3-4
90% payouts 5+",
9,Alpha Futures,UK,2024,Alpha Futures Advanced,150k,15 minis / 150 micros,Subscription,$419,-,-,No,Yes,EOD,$5 250,-,$12 000,50%,2,$149,No,Yes,15 minis / 150 micros,EOD,$5 250,-,-,40%,5,$200,$1 000,$15 000,90%,"Request 50% of account balance
Other 50% stays as buffer"
